Repo,PR_number,Commits,Additions,Deletions,Files_Changed,Comments,Formal_Review,Inline_Comments_Review,NumPathsInFile,AvgPathCharLength,MaxPathCharLength
halilozel1903/AndroidTVMovieParadise,23,1,817,0,14,0,0.0,0,14,73.28571428571429,90
halilozel1903/AndroidTVMovieParadise,24,1,108,8,1,0,0.0,0,1,72.0,72
OpenHFT/Chronicle-Threads,279,1,30,41,1,0,0.0,0,1,59.0,59
OpenHFT/Chronicle-Threads,281,1,22,6,1,0,0.0,0,1,65.0,65
OpenHFT/Chronicle-Threads,283,1,22,1,1,0,0.0,0,1,65.0,65
OpenHFT/Chronicle-Threads,287,1,24,0,1,0,0.0,0,1,67.0,67
OpenHFT/Chronicle-Threads,295,1,19,15,1,0,0.0,0,1,60.0,60
OpenHFT/Chronicle-Threads,298,1,17,0,1,0,0.0,0,1,69.0,69
OpenHFT/Chronicle-Threads,299,1,26,0,1,0,0.0,0,1,69.0,69
OpenHFT/Chronicle-Threads,300,1,10,4,1,0,0.0,0,1,59.0,59
OpenHFT/Chronicle-Threads,301,1,5,0,1,0,0.0,0,1,62.0,62
OpenHFT/Chronicle-Threads,302,1,29,0,1,0,0.0,0,1,62.0,62
OpenHFT/Chronicle-Threads,303,1,23,0,1,0,0.0,0,1,69.0,69
OpenHFT/Chronicle-Threads,304,1,42,0,1,0,0.0,0,1,61.0,61
OpenHFT/Chronicle-Threads,305,1,48,0,1,0,0.0,0,1,56.0,56
OpenHFT/Chronicle-Threads,306,1,27,0,1,0,0.0,0,1,78.0,78
OpenHFT/Chronicle-Threads,307,1,25,0,1,0,0.0,0,1,77.0,77
OpenHFT/Chronicle-Threads,308,1,18,1,1,0,0.0,0,1,71.0,71
OpenHFT/Chronicle-Threads,309,1,4,0,1,0,0.0,0,1,70.0,70
OpenHFT/Chronicle-Threads,310,1,5,0,1,0,0.0,0,1,69.0,69
OpenHFT/Chronicle-Threads,311,1,4,0,1,0,0.0,0,1,74.0,74
OpenHFT/Java-Thread-Affinity,149,1,27,0,1,0,0.0,0,1,65.0,65
VerisimilitudeX/DNAnalyzer,535,2,65,3,5,0,0.0,0,5,23.0,31
jdereg/java-util,304,1,33,0,2,0,0.0,0,2,46.5,81
jdereg/java-util,306,1,23,0,2,0,0.0,0,2,46.5,81
jdereg/java-util,310,1,78,0,1,0,0.0,0,1,63.0,63
jdereg/java-util,311,1,77,0,2,0,0.0,0,2,51.5,91
jdereg/java-util,312,2,57,3,2,0,0.0,0,2,40.5,69
jdereg/java-util,313,1,19,0,2,0,0.0,0,2,39.0,66
jdereg/java-util,314,1,33,0,2,0,0.0,0,2,46.0,80
jdereg/java-util,316,1,79,0,2,0,0.0,0,2,38.0,64
SimonHalvdansson/Harmonic-HN,220,8,166,3,6,0,0.0,0,6,54.5,85
OpenHFT/Java-Thread-Affinity,151,1,46,0,1,0,0.0,0,1,75.0,75
jdereg/json-io,311,1,99,1,5,0,0.0,0,5,40.6,65
OpenHFT/Java-Thread-Affinity,143,1,6,0,1,0,0.0,0,1,11.0,11
OpenHFT/Java-Thread-Affinity,156,1,42,8,2,0,0.0,0,2,64.0,66
OpenHFT/Java-Thread-Affinity,161,1,3,3,3,0,0.0,0,3,68.66666666666667,72
jdereg/json-io,394,1,134,0,3,0,0.0,0,3,38.333333333333336,52
jdereg/json-io,398,1,112,0,2,0,0.0,0,2,41.0,70
OpenHFT/Chronicle-Values,125,1,18,3,1,0,0.0,0,1,54.0,54
OpenHFT/Chronicle-Values,130,1,9,0,1,0,0.0,0,1,72.0,72
OpenHFT/Chronicle-Values,133,1,2,0,1,0,0.0,0,1,39.0,39
OpenHFT/Chronicle-Values,140,1,5,0,1,0,0.0,0,1,55.0,55
OpenHFT/Chronicle-Values,146,1,4,3,1,0,0.0,0,1,63.0,63
OpenHFT/Chronicle-Values,149,1,7,1,1,0,0.0,0,1,58.0,58
OpenHFT/Chronicle-Values,154,1,7,0,1,0,0.0,0,1,54.0,54
OpenHFT/Java-Runtime-Compiler,149,1,8,2,1,0,0.0,0,1,60.0,60
OpenHFT/Java-Runtime-Compiler,153,1,15,12,1,0,0.0,0,1,11.0,11
OpenHFT/Java-Runtime-Compiler,158,1,3,2,1,0,0.0,0,1,31.0,31
jdereg/java-util,260,1,3,0,2,0,0.0,0,2,34.0,56
xpinjection/test-driven-spring-boot,11,1,3,3,2,1,0.0,0,2,70.0,71
OpenHFT/Chronicle-Values,139,1,6,1,1,0,0.0,0,1,65.0,65
jdereg/json-io,411,1,20,0,2,0,0.0,0,2,39.0,66
jdereg/java-util,329,2,74,0,2,0,0.0,0,2,41.5,71
jdereg/java-util,333,1,81,0,2,0,0.0,0,2,51.0,90
OpenHFT/Chronicle-Values,62,1,27,29,1,0,0.0,0,1,53.0,53
OpenHFT/Chronicle-Values,72,1,2,2,1,0,0.0,0,1,61.0,61
OpenHFT/Chronicle-Values,76,1,2,0,1,0,0.0,0,1,11.0,11
OpenHFT/Chronicle-Values,78,1,4,0,1,0,0.0,0,1,55.0,55
jdereg/java-util,175,1,54,13,2,0,0.0,0,2,57.0,59
jdereg/java-util,176,1,131,17,1,0,0.0,0,1,56.0,56
jdereg/java-util,179,1,12,2,2,0,0.0,0,2,33.5,55
jdereg/java-util,181,2,5,28,2,0,0.0,0,2,35.5,59
jdereg/java-util,182,2,33,11,2,0,0.0,0,2,34.0,56
jdereg/java-util,183,1,184,31,4,0,0.0,0,4,35.25,61
jdereg/java-util,184,2,145,62,5,0,0.0,0,5,37.2,57
jdereg/java-util,185,2,87,35,5,0,0.0,0,5,39.0,61
freeplane/freeplane,2537,2,5,5,1,0,0.0,0,1,67.0,67
jdereg/java-util,326,1,97,68,5,0,0.0,0,5,40.2,67
jdereg/json-io,314,1,14,2,2,0,0.0,0,2,12.5,13
jdereg/java-util,127,1,162,26,2,0,0.0,0,2,56.5,61
OpenHFT/Java-Runtime-Compiler,160,1,6,0,1,0,0.0,0,1,40.0,40
OpenHFT/Chronicle-Values,156,2,0,0,0,0,0.0,0,0,0.0,0
OpenHFT/Chronicle-Values,157,1,13,10,1,0,0.0,0,1,65.0,65
OpenHFT/Chronicle-Core,768,1,26,23,1,0,0.0,0,1,70.0,70
OpenHFT/Chronicle-Core,774,2,37,39,3,0,0.0,0,3,65.0,70
OpenHFT/Chronicle-Core,799,1,14,25,3,0,0.0,0,3,55.0,60
jdereg/java-util,133,1,3,0,1,0,0.0,0,1,64.0,64
jdereg/java-util,195,1,6,4,2,0,0.0,0,2,31.5,51
jdereg/java-util,196,1,4,1,2,0,0.0,0,2,33.5,55
jdereg/java-util,197,1,8,3,2,0,0.0,0,2,31.5,51
OpenHFT/Chronicle-Bytes,678,1,10,6,1,0,0.0,0,1,74.0,74
OpenHFT/Chronicle-Bytes,680,1,6,3,1,0,0.0,0,1,62.0,62
OpenHFT/Chronicle-Wire,1101,1,98,44,1,0,0.0,0,1,54.0,54
OpenHFT/Chronicle-Wire,1102,1,44,16,1,0,0.0,0,1,63.0,63
OpenHFT/Chronicle-Wire,1103,1,43,17,1,0,0.0,0,1,64.0,64
OpenHFT/Chronicle-Wire,1104,1,54,4,1,0,0.0,0,1,62.0,62
OpenHFT/Chronicle-Wire,1105,1,71,8,1,0,0.0,0,1,53.0,53
OpenHFT/Chronicle-Wire,1106,1,95,36,1,0,0.0,0,1,53.0,53
OpenHFT/Chronicle-Wire,1107,1,98,27,1,0,0.0,0,1,55.0,55
OpenHFT/Chronicle-Wire,1108,1,23,5,1,0,0.0,0,1,61.0,61
OpenHFT/Chronicle-Wire,1110,1,11,9,1,0,0.0,0,1,58.0,58
OpenHFT/Chronicle-Wire,1111,1,69,96,1,0,0.0,0,1,72.0,72
OpenHFT/Chronicle-Wire,1112,1,52,23,1,0,0.0,0,1,83.0,83
OpenHFT/Chronicle-Wire,1113,1,37,29,1,0,0.0,0,1,83.0,83
OpenHFT/Chronicle-Wire,1114,1,33,13,1,0,0.0,0,1,81.0,81
OpenHFT/Chronicle-Wire,1115,1,35,22,1,0,0.0,0,1,79.0,79
OpenHFT/Chronicle-Wire,1116,1,76,172,1,0,0.0,0,1,66.0,66
OpenHFT/Chronicle-Wire,1117,1,51,74,1,0,0.0,0,1,67.0,67
OpenHFT/Chronicle-Wire,1118,1,53,5,1,0,0.0,0,1,85.0,85
OpenHFT/Chronicle-Wire,1119,1,21,23,1,0,0.0,0,1,75.0,75
OpenHFT/Chronicle-Wire,1120,1,9,5,1,0,0.0,0,1,77.0,77
OpenHFT/Chronicle-Bytes,663,1,315,192,13,0,0.0,0,13,71.23076923076923,85
OpenHFT/Chronicle-Bytes,664,1,205,346,6,0,0.0,0,6,63.833333333333336,87
OpenHFT/Chronicle-Bytes,666,1,104,140,5,0,0.0,0,5,69.0,81
OpenHFT/Chronicle-Bytes,667,1,170,295,13,0,0.0,0,13,66.15384615384616,80
OpenHFT/Chronicle-Bytes,668,1,181,265,12,0,0.0,0,12,61.083333333333336,71
OpenHFT/Chronicle-Bytes,670,1,170,190,12,0,0.0,0,12,64.16666666666667,76
OpenHFT/Chronicle-Bytes,671,1,171,17,5,0,0.0,0,5,71.2,73
OpenHFT/Chronicle-Bytes,672,1,15,0,1,0,0.0,0,1,65.0,65
OpenHFT/Chronicle-Bytes,673,2,211,117,15,0,0.0,0,15,71.26666666666667,83
OpenHFT/Chronicle-Bytes,675,1,169,176,5,0,0.0,0,5,38.2,60
DataDog/dd-trace-java,8985,1,0,32,2,2,2.0,0,2,40.5,54
Camelcade/Perl5-IDEA,3005,5,77,710,2,3,0.0,0,2,68.0,73
VerisimilitudeX/DNAnalyzer,529,3,69,5,5,1,0.0,1,5,40.0,59
jdereg/java-util,269,1,78,0,2,0,0.0,0,2,49.5,87
Stirling-Tools/Stirling-PDF,3989,1,4,4,2,1,4.0,3,2,59.0,59
OpenHFT/Chronicle-Wire,1185,2,72,152,2,0,0.0,0,2,64.5,69
OpenHFT/Chronicle-Wire,1186,2,35,10,2,0,0.0,0,2,64.5,69
OpenHFT/Chronicle-Wire,1187,2,28,3,2,0,0.0,0,2,64.5,69
OpenHFT/Chronicle-Wire,1188,2,64,139,1,0,0.0,0,1,69.0,69
OpenHFT/Chronicle-Wire,1189,2,34,25,2,0,0.0,0,2,68.0,69
OpenHFT/Chronicle-Wire,1190,2,110,175,2,0,0.0,0,2,64.5,69
OpenHFT/Chronicle-Wire,1191,2,24,6,2,0,0.0,0,2,74.0,79
OpenHFT/Chronicle-Wire,1192,2,24,6,2,0,0.0,0,2,74.0,79
OpenHFT/Chronicle-Wire,1193,2,128,130,2,0,0.0,0,2,56.5,59
OpenHFT/Chronicle-Wire,1194,2,72,152,2,0,0.0,0,2,64.5,69
OpenHFT/Chronicle-Threads,276,1,29,4,1,0,0.0,0,1,62.0,62
OpenHFT/Chronicle-Threads,278,1,129,2,1,0,0.0,0,1,66.0,66
OpenHFT/Chronicle-Threads,284,1,21,6,1,0,0.0,0,1,64.0,64
OpenHFT/Chronicle-Threads,285,1,19,2,1,0,0.0,0,1,66.0,66
OpenHFT/Chronicle-Threads,286,1,20,4,1,0,0.0,0,1,65.0,65
OpenHFT/Chronicle-Threads,289,1,34,2,1,0,0.0,0,1,66.0,66
OpenHFT/Chronicle-Threads,290,1,12,6,1,0,0.0,0,1,67.0,67
OpenHFT/Chronicle-Threads,293,1,20,13,1,0,0.0,0,1,63.0,63
OpenHFT/Chronicle-Threads,294,1,28,16,2,0,0.0,0,2,61.5,64
OpenHFT/Chronicle-Threads,296,1,76,8,3,0,0.0,0,3,45.333333333333336,63
OpenHFT/Chronicle-Threads,297,1,44,0,2,0,0.0,0,2,67.5,71
jdereg/java-util,289,1,42,21,3,0,0.0,0,3,38.666666666666664,52
halilozel1903/AndroidTVMovieParadise,20,1,20,36,5,0,0.0,0,5,31.2,76
jdereg/java-util,200,1,29,0,3,0,0.0,0,3,11.0,12
OpenHFT/Chronicle-Values,141,1,7,4,1,0,0.0,0,1,53.0,53
OpenHFT/Chronicle-Values,147,1,14,3,1,0,0.0,0,1,65.0,65
JetBrains/psiviewer,104,1,3,2,1,1,0.0,0,1,53.0,53
jdereg/java-util,342,1,3,11,2,0,0.0,0,2,38.0,64
OpenHFT/Java-Thread-Affinity,147,1,30,0,1,0,0.0,0,1,57.0,57
VerisimilitudeX/DNAnalyzer,534,2,322,2,9,1,0.0,0,9,36.77777777777778,70
VerisimilitudeX/DNAnalyzer,539,1,93,0,4,0,0.0,0,4,33.25,49
jdereg/json-io,326,2,88,8,3,0,0.0,0,3,45.666666666666664,64
SimonHalvdansson/Harmonic-HN,217,4,277,0,9,0,0.0,0,9,54.666666666666664,80
operaton/operaton,891,1,475,521,44,1,0.0,0,44,101.77272727272727,131
jdereg/java-util,279,1,1,49,2,0,0.0,0,2,41.5,71
jdereg/java-util,284,1,24,0,2,0,0.0,0,2,47.5,83
VerisimilitudeX/DNAnalyzer,530,1,172,1,9,0,0.0,0,9,48.55555555555556,86
jdereg/java-util,275,1,23,0,2,0,0.0,0,2,45.5,79
OpenHFT/Chronicle-Core,791,1,8,0,1,0,0.0,0,1,74.0,74
jdereg/java-util,285,1,16,0,2,0,0.0,0,2,39.5,67
jdereg/java-util,287,2,65,10,2,0,0.0,0,2,43.5,75
xpinjection/test-driven-spring-boot,13,1,15,1,4,1,0.0,0,4,56.0,79
jdereg/java-util,355,1,3,2,2,0,0.0,0,2,36.5,61
VerisimilitudeX/DNAnalyzer,500,1,1,1,1,0,0.0,0,1,9.0,9
cwuom/ono,3,1,4,4,1,0,0.0,0,1,51.0,51
jdereg/java-util,268,2,1,2,2,0,0.0,0,2,47.0,82
jdereg/java-util,267,1,11,0,2,0,0.0,0,2,41.5,71
OpenHFT/Chronicle-Core,790,1,10,1,1,0,0.0,0,1,66.0,66
jdereg/json-io,413,1,18,8,3,0,0.0,0,3,42.0,58
apache/pinot,16078,3,49,0,3,2,4.0,2,3,62.0,65
OpenHFT/Chronicle-Core,815,1,37,1,3,0,0.0,0,3,37.0,48
jdereg/json-io,309,1,86,8,6,0,0.0,0,6,52.666666666666664,64
SimonHalvdansson/Harmonic-HN,219,1,25,3,2,0,0.0,0,2,74.0,80
traccar/traccar,5557,1,9,1,1,0,0.0,0,1,12.0,12
halilozel1903/AndroidTVMovieParadise,9,1,9,0,2,0,0.0,0,2,10.5,12
halilozel1903/AndroidTVMovieParadise,11,1,29,2,2,0,0.0,0,2,76.0,76
halilozel1903/AndroidTVMovieParadise,12,1,4,4,2,0,0.0,0,2,40.5,43
halilozel1903/AndroidTVMovieParadise,15,1,20,1,1,0,0.0,0,1,82.0,82
halilozel1903/AndroidTVMovieParadise,16,1,18,7,1,0,0.0,0,1,72.0,72
jdereg/java-util,332,1,57,0,2,0,0.0,0,2,43.5,75
OpenHFT/Chronicle-Values,69,1,39,3,2,0,0.0,0,2,40.5,70
halilozel1903/AndroidTVMovieParadise,22,1,40,5,5,0,0.0,0,5,69.4,78
jdereg/java-util,121,1,2,2,1,0,0.0,0,1,12.0,12
jdereg/java-util,262,2,30,1,2,0,0.0,0,2,42.5,73
jdereg/java-util,264,1,52,0,2,0,0.0,0,2,47.0,82
jdereg/json-io,384,1,3,2,2,0,0.0,0,2,36.5,61
jdereg/json-io,385,2,3,3,1,0,0.0,0,1,61.0,61
jdereg/json-io,386,2,3,1,2,0,0.0,0,2,36.5,61
jdereg/json-io,387,1,6,1,2,0,0.0,0,2,31.0,50
jdereg/json-io,388,2,4,2,2,0,0.0,0,2,36.5,61
jdereg/json-io,389,1,8,4,3,0,0.0,0,3,29.333333333333332,50
OpenHFT/Java-Thread-Affinity,145,1,14,0,1,0,0.0,0,1,11.0,11
VerisimilitudeX/DNAnalyzer,509,2,1,0,1,0,0.0,0,1,9.0,9
VerisimilitudeX/DNAnalyzer,511,2,159,1,6,0,0.0,0,6,39.0,55
VerisimilitudeX/DNAnalyzer,513,3,135,0,4,1,0.0,0,4,39.75,62
jdereg/java-util,352,1,55,27,2,0,0.0,0,2,32.5,53
operaton/operaton,903,1,2367,2239,127,1,0.0,0,127,109.68503937007874,134
SimonHalvdansson/Harmonic-HN,218,1,19,0,1,0,0.0,0,1,68.0,68
jdereg/java-util,203,1,55,6,4,0,0.0,0,4,22.0,55
jdereg/java-util,205,1,23,0,2,0,0.0,0,2,9.5,12
xpinjection/test-driven-spring-boot,16,1,21,0,1,0,0.0,0,1,7.0,7
jdereg/java-util,331,1,70,0,2,0,0.0,0,2,42.5,73
OpenHFT/Chronicle-Core,740,1,188,16,17,0,0.0,0,17,68.52941176470588,75
OpenHFT/Chronicle-Core,745,1,54,31,2,0,0.0,0,2,75.5,79
VerisimilitudeX/DNAnalyzer,520,3,175,0,5,1,0.0,0,5,42.0,56
jdereg/java-util,131,1,27,22,6,0,0.0,0,6,40.333333333333336,58
jdereg/java-util,132,1,9,0,1,0,0.0,0,1,12.0,12
OpenHFT/Chronicle-Values,155,1,14,11,1,0,0.0,0,1,53.0,53
OpenHFT/Chronicle-Values,158,1,10,8,1,0,0.0,0,1,59.0,59
jdereg/java-util,344,1,19,1,3,0,0.0,0,3,25.0,51
JetBrains/psiviewer,105,1,2,2,1,1,0.0,0,1,66.0,66
OpenHFT/Chronicle-Wire,1136,3,58,34,4,0,0.0,0,4,56.5,60
OpenHFT/Chronicle-Wire,1137,1,42,19,2,0,0.0,0,2,74.0,76
OpenHFT/Chronicle-Wire,1142,2,130,130,4,0,0.0,0,4,70.25,79
OpenHFT/Chronicle-Wire,1144,1,23,21,1,0,0.0,0,1,51.0,51
OpenHFT/Chronicle-Wire,1145,1,22,26,1,0,0.0,0,1,55.0,55
OpenHFT/Chronicle-Wire,1146,1,46,13,1,0,0.0,0,1,62.0,62
OpenHFT/Chronicle-Wire,1147,1,50,39,1,0,0.0,0,1,60.0,60
OpenHFT/Chronicle-Wire,1148,1,136,69,1,0,0.0,0,1,67.0,67
OpenHFT/Chronicle-Wire,1149,1,49,21,2,0,0.0,0,2,66.0,67
OpenHFT/Chronicle-Wire,1150,1,191,129,1,0,0.0,0,1,51.0,51
OpenHFT/Chronicle-Wire,1151,1,133,82,1,0,0.0,0,1,54.0,54
OpenHFT/Chronicle-Wire,1152,1,28,28,1,0,0.0,0,1,53.0,53
OpenHFT/Chronicle-Wire,1153,1,35,19,3,0,0.0,0,3,66.33333333333333,75
OpenHFT/Chronicle-Wire,1154,1,39,24,2,0,0.0,0,2,71.5,80
OpenHFT/Chronicle-Wire,1155,1,76,59,2,0,0.0,0,2,58.0,60
OpenHFT/Chronicle-Wire,1156,1,18,20,2,0,0.0,0,2,61.5,64
OpenHFT/Chronicle-Wire,1157,1,29,28,2,0,0.0,0,2,77.5,86
OpenHFT/Chronicle-Wire,1158,1,37,10,3,0,0.0,0,3,63.333333333333336,70
OpenHFT/Chronicle-Wire,1159,1,16,12,2,0,0.0,0,2,64.5,75
OpenHFT/Chronicle-Wire,1160,1,57,21,3,0,0.0,0,3,61.666666666666664,78
OpenHFT/Chronicle-Wire,1161,1,40,23,1,0,0.0,0,1,67.0,67
OpenHFT/Chronicle-Wire,1162,1,33,13,1,0,0.0,0,1,66.0,66
OpenHFT/Chronicle-Wire,1163,1,82,40,1,0,0.0,0,1,56.0,56
OpenHFT/Chronicle-Wire,1164,1,70,44,1,0,0.0,0,1,63.0,63
OpenHFT/Chronicle-Wire,1165,1,19,14,2,0,0.0,0,2,61.5,65
OpenHFT/Chronicle-Wire,1166,1,133,41,1,0,0.0,0,1,61.0,61
OpenHFT/Chronicle-Wire,1167,1,89,159,1,0,0.0,0,1,61.0,61
OpenHFT/Chronicle-Wire,1168,1,35,53,1,0,0.0,0,1,66.0,66
OpenHFT/Chronicle-Wire,1169,1,23,13,1,0,0.0,0,1,56.0,56
OpenHFT/Chronicle-Wire,1177,1,33,12,7,0,0.0,0,7,25.0,33
OpenHFT/Chronicle-Wire,1178,1,143,26,15,0,0.0,0,15,60.333333333333336,71
OpenHFT/Chronicle-Wire,1179,1,140,0,6,0,0.0,0,6,89.66666666666667,94
OpenHFT/Chronicle-Wire,1180,1,40,6,2,0,0.0,0,2,8.0,9
OpenHFT/Chronicle-Wire,1181,1,72,9,2,0,0.0,0,2,18.0,19
OpenHFT/Chronicle-Wire,1182,1,52,18,5,0,0.0,0,5,47.8,67
OpenHFT/Chronicle-Logger,148,1,25,0,1,0,0.0,0,1,85.0,85
OpenHFT/Chronicle-Logger,151,1,24,0,1,0,0.0,0,1,85.0,85
OpenHFT/Chronicle-Logger,156,1,17,0,1,0,0.0,0,1,87.0,87
OpenHFT/Chronicle-Logger,183,1,30,0,1,0,0.0,0,1,72.0,72
jdereg/json-io,319,1,25,0,2,0,0.0,0,2,9.5,12
Photon-GitHub/AntiCheatAddition,687,1,34,0,1,0,0.0,0,1,83.0,83
Photon-GitHub/AntiCheatAddition,688,1,122,0,5,0,0.0,0,5,63.2,81
xpinjection/test-driven-spring-boot,12,1,2,0,1,1,0.0,0,1,15.0,15
jdereg/java-util,290,1,41,0,3,0,0.0,0,3,55.333333333333336,83
VerisimilitudeX/DNAnalyzer,544,3,311,206,8,2,0.0,4,8,53.25,68
halilozel1903/AndroidTVMovieParadise,14,1,21,15,1,0,0.0,0,1,9.0,9
OpenHFT/Chronicle-Threads,291,1,35,18,1,0,0.0,0,1,21.0,21
operaton/operaton,913,1,153,5,4,3,10.0,10,4,93.0,104
jdereg/java-util,353,1,336,712,3,0,0.0,0,3,26.666666666666668,56
jdereg/java-util,164,1,4,31,2,0,0.0,0,2,31.0,50
jdereg/java-util,166,1,65,5,2,0,0.0,0,2,52.0,54
jdereg/java-util,169,2,25,7,2,0,0.0,0,2,52.0,54
xpinjection/test-driven-spring-boot,15,1,8,0,4,1,0.0,0,4,72.0,77
jdereg/java-util,334,1,3,2,2,0,0.0,0,2,51.0,90
VerisimilitudeX/DNAnalyzer,528,2,169,0,4,1,0.0,0,4,55.0,65
jdereg/json-io,396,1,36,0,2,0,0.0,0,2,36.0,60
OpenHFT/Chronicle-Core,788,1,6,6,1,0,0.0,0,1,63.0,63
OpenHFT/Chronicle-Core,793,1,19,0,1,0,0.0,0,1,54.0,54
jdereg/java-util,307,2,7,9,3,0,0.0,0,3,51.666666666666664,72
jdereg/java-util,308,1,10,7,3,0,0.0,0,3,51.666666666666664,72
jdereg/java-util,309,1,14,2,2,0,0.0,0,2,42.0,72
jdereg/java-util,130,1,11,0,1,0,0.0,0,1,56.0,56
jdereg/java-util,154,1,1,1,1,0,0.0,0,1,12.0,12
jdereg/java-util,155,1,2,26,1,0,0.0,0,1,60.0,60
jdereg/java-util,158,1,3,48,5,0,0.0,0,5,56.8,60
OpenHFT/Java-Thread-Affinity,165,1,25,0,1,0,0.0,0,1,64.0,64
OpenHFT/Java-Thread-Affinity,170,1,54,0,1,0,0.0,0,1,74.0,74
OpenHFT/Java-Thread-Affinity,171,1,64,0,1,0,0.0,0,1,67.0,67
OpenHFT/Chronicle-Bytes,679,1,42,8,2,0,0.0,0,2,74.5,75
jdereg/java-util,138,1,91,7,3,0,0.0,0,3,47.666666666666664,75
jdereg/java-util,137,1,12,1,2,0,0.0,0,2,10.5,12
OpenHFT/Java-Thread-Affinity,144,1,15,0,1,0,0.0,0,1,11.0,11
jdereg/json-io,395,1,18,0,2,0,0.0,0,2,37.5,63
VerisimilitudeX/DNAnalyzer,501,2,3,2,1,0,0.0,0,1,56.0,56
VerisimilitudeX/DNAnalyzer,503,2,12,2,2,0,0.0,0,2,48.0,50
jdereg/java-util,214,2,12,11,4,0,0.0,0,4,55.75,81
jdereg/java-util,216,1,4,2,2,0,0.0,0,2,46.5,81
jdereg/java-util,218,2,6,4,1,0,0.0,0,1,81.0,81
VerisimilitudeX/DNAnalyzer,519,3,95,0,2,1,0.0,0,2,29.5,50
VerisimilitudeX/DNAnalyzer,521,3,111,8,7,1,0.0,0,7,43.142857142857146,59
halilozel1903/AndroidTVMovieParadise,10,1,41,20,2,0,0.0,0,2,40.5,43
jdereg/java-util,119,1,73,22,4,0,0.0,0,4,57.0,60
jdereg/java-util,330,2,7,2,2,0,0.0,0,2,33.0,54
OpenHFT/Chronicle-Core,739,1,198,74,17,0,0.0,0,17,68.52941176470588,75
OpenHFT/Chronicle-Core,742,1,42,23,1,0,0.0,0,1,61.0,61
OpenHFT/Chronicle-Core,743,1,55,100,6,0,0.0,0,6,63.333333333333336,66
OpenHFT/Chronicle-Core,746,1,16,5,1,0,0.0,0,1,75.0,75
OpenHFT/Chronicle-Core,752,1,41,28,1,0,0.0,0,1,68.0,68
OpenHFT/Chronicle-Core,756,1,16,11,1,0,0.0,0,1,77.0,77
OpenHFT/Chronicle-Core,758,1,65,7,1,0,0.0,0,1,83.0,83
OpenHFT/Chronicle-Core,759,1,24,20,1,0,0.0,0,1,64.0,64
jdereg/java-util,280,1,23,0,2,0,0.0,0,2,41.5,71
OpenHFT/Java-Thread-Affinity,174,1,56,0,1,0,0.0,0,1,78.0,78
OpenHFT/Java-Thread-Affinity,166,1,33,0,1,0,0.0,0,1,80.0,80
traccar/traccar,5568,1,7,6,1,0,0.0,0,1,12.0,12
OpenHFT/Chronicle-Wire,1195,2,58,2,3,0,0.0,0,3,58.333333333333336,77
OpenHFT/Chronicle-Wire,1196,1,57,0,3,0,0.0,0,3,73.66666666666667,79
OpenHFT/Chronicle-Wire,1198,1,16,0,1,0,0.0,0,1,34.0,34
OpenHFT/Chronicle-Wire,1199,1,26,0,3,0,0.0,0,3,62.0,77
jdereg/java-util,145,1,65,2,3,0,0.0,0,3,53.666666666666664,69
OpenHFT/Chronicle-Wire,1000,1,75,1843,1,0,0.0,0,1,11.0,11
OpenHFT/Chronicle-Wire,1009,1,36,51,1,0,0.0,0,1,56.0,56
OpenHFT/Chronicle-Wire,1010,1,106,116,1,0,0.0,0,1,52.0,52
OpenHFT/Chronicle-Wire,1012,1,110,96,1,0,0.0,0,1,53.0,53
OpenHFT/Chronicle-Wire,1013,1,13,8,1,0,0.0,0,1,50.0,50
OpenHFT/Chronicle-Wire,1014,1,106,27,1,0,0.0,0,1,58.0,58
OpenHFT/Chronicle-Wire,1015,1,29,6,1,0,0.0,0,1,57.0,57
OpenHFT/Chronicle-Wire,1016,1,78,82,1,0,0.0,0,1,61.0,61
OpenHFT/Chronicle-Wire,1017,1,12,13,1,0,0.0,0,1,59.0,59
OpenHFT/Chronicle-Wire,1019,1,9,11,1,0,0.0,0,1,50.0,50
OpenHFT/Chronicle-Wire,1021,1,43,30,1,0,0.0,0,1,61.0,61
OpenHFT/Chronicle-Wire,1022,1,20,16,1,0,0.0,0,1,66.0,66
OpenHFT/Chronicle-Wire,1023,1,15,7,1,0,0.0,0,1,65.0,65
OpenHFT/Chronicle-Wire,1024,1,41,16,1,0,0.0,0,1,69.0,69
OpenHFT/Chronicle-Wire,1025,1,60,17,1,0,0.0,0,1,70.0,70
OpenHFT/Chronicle-Wire,1026,1,52,16,1,0,0.0,0,1,71.0,71
OpenHFT/Chronicle-Wire,1027,1,38,15,1,0,0.0,0,1,72.0,72
OpenHFT/Chronicle-Wire,1028,1,31,34,2,0,0.0,0,2,64.0,67
OpenHFT/Chronicle-Wire,1029,1,64,18,2,0,0.0,0,2,65.5,68
OpenHFT/Chronicle-Wire,1031,1,61,114,1,0,0.0,0,1,58.0,58
OpenHFT/Chronicle-Wire,1032,1,49,47,2,0,0.0,0,2,62.5,63
OpenHFT/Chronicle-Wire,1033,1,30,18,4,0,0.0,0,4,66.5,72
OpenHFT/Chronicle-Wire,1034,1,42,45,2,0,0.0,0,2,73.0,77
OpenHFT/Chronicle-Wire,1035,1,11,11,1,0,0.0,0,1,57.0,57
OpenHFT/Chronicle-Wire,1037,1,39,52,1,0,0.0,0,1,60.0,60
