Repo,PR_number,Commits,Additions,Deletions,Files_Changed,Comments,Formal_Review,Inline_Comments_Review,NumPathsInFile,AvgPathCharLength,MaxPathCharLength
valkey-io/valkey-glide,4380,9,128,7,1,6,0.0,0,1,34.0,34
valkey-io/valkey-glide,4381,6,9,2,2,5,0.0,0,2,23.5,36
valkey-io/valkey-glide,4384,8,131,48,1,9,0.0,0,1,53.0,53
valkey-io/valkey-glide,4386,5,25,21,8,2,0.0,0,8,28.5,37
OpenHFT/Chronicle-Core,747,1,86,62,3,0,0.0,0,3,60.666666666666664,73
OpenHFT/Chronicle-Core,749,1,65,0,1,0,0.0,0,1,37.0,37
jdereg/java-util,149,1,2,2,1,0,0.0,0,1,55.0,55
jdereg/java-util,147,1,132,35,2,0,0.0,0,2,59.0,66
jdereg/java-util,146,1,77,0,2,0,0.0,0,2,57.0,62
jdereg/java-util,141,1,35,0,2,0,0.0,0,2,67.5,75
jdereg/java-util,139,1,11,5,1,0,0.0,0,1,52.0,52
jdereg/java-util,293,1,28,0,2,0,0.0,0,2,36.5,61
jdereg/java-util,294,2,97,1,2,0,0.0,0,2,38.0,64
jdereg/java-util,315,2,95,1,2,0,0.0,0,2,36.5,61
OpenHFT/Java-Thread-Affinity,152,1,55,0,1,0,0.0,0,1,74.0,74
OpenHFT/Java-Thread-Affinity,155,1,17,2,1,0,0.0,0,1,54.0,54
OpenHFT/Chronicle-Core,737,1,198,74,17,0,0.0,0,17,68.52941176470588,75
OpenHFT/Chronicle-Bytes,677,1,6,2,1,0,0.0,0,1,72.0,72
jdereg/java-util,245,1,15,7,2,0,0.0,0,2,30.0,48
jdereg/java-util,257,1,3,2,2,0,0.0,0,2,37.0,62
OpenHFT/Chronicle-Core,755,1,13,16,1,0,0.0,0,1,72.0,72
OpenHFT/Chronicle-Core,757,1,13,10,1,0,0.0,0,1,73.0,73
OpenHFT/Chronicle-Core,764,2,129,37,5,0,0.0,0,5,66.2,68
OpenHFT/Chronicle-Core,782,1,46,30,1,0,0.0,0,1,71.0,71
OpenHFT/Chronicle-Core,792,2,166,44,6,0,0.0,0,6,66.5,74
OpenHFT/Chronicle-Core,807,1,50,0,2,0,0.0,0,2,27.0,43
halilozel1903/AndroidTVMovieParadise,17,1,18,12,4,0,0.0,0,4,51.0,76
halilozel1903/AndroidTVMovieParadise,19,1,20,80,6,0,0.0,0,6,40.0,76
jdereg/json-io,408,1,21,1,2,0,0.0,0,2,36.0,60
jdereg/json-io,407,1,21,0,2,0,0.0,0,2,37.5,63
jdereg/json-io,405,2,23,13,2,0,0.0,0,2,37.0,62
jdereg/json-io,378,2,62,23,6,0,0.0,0,6,32.833333333333336,59
VerisimilitudeX/DNAnalyzer,527,1,163,2,11,0,0.0,0,11,22.09090909090909,28
jdereg/json-io,322,2,7,0,1,0,0.0,0,1,76.0,76
OpenHFT/Chronicle-Bytes,657,1,108,154,16,0,0.0,0,16,70.625,75
OpenHFT/Chronicle-Bytes,659,1,180,65,12,0,0.0,0,12,58.5,75
OpenHFT/Chronicle-Bytes,660,2,138,151,9,0,0.0,0,9,65.55555555555556,73
jdereg/java-util,274,1,15,0,2,0,0.0,0,2,41.5,71
jdereg/java-util,273,2,17,2,2,0,0.0,0,2,41.5,71
jdereg/java-util,272,1,38,0,2,0,0.0,0,2,41.5,71
jdereg/java-util,140,1,6,0,2,0,0.0,0,2,62.0,64
OpenHFT/Chronicle-Threads,328,1,36,0,1,0,0.0,0,1,31.0,31
OpenHFT/Chronicle-Wire,997,1,69,36,1,0,0.0,0,1,19.0,19
OpenHFT/Chronicle-Wire,998,1,67,14,1,0,0.0,0,1,21.0,21
OpenHFT/Chronicle-Wire,999,1,26,41,1,0,0.0,0,1,33.0,33
halilozel1903/AndroidTVMovieParadise,13,1,347,1,12,0,0.0,0,12,74.91666666666667,94
jdereg/java-util,204,1,101,1,7,0,0.0,0,7,46.42857142857143,57
jdereg/java-util,207,1,212,0,4,0,0.0,0,4,35.5,61
OpenHFT/Java-Thread-Affinity,168,1,5,0,1,0,0.0,0,1,65.0,65
OpenHFT/Java-Thread-Affinity,173,1,11,0,2,0,0.0,0,2,64.0,70
jdereg/java-util,208,1,55,0,3,0,0.0,0,3,46.666666666666664,64
jdereg/java-util,209,1,18,1,2,0,0.0,0,2,35.5,59
jdereg/java-util,210,1,135,0,2,0,0.0,0,2,40.0,68
jdereg/java-util,211,2,77,2,2,0,0.0,0,2,46.5,81
jdereg/java-util,212,1,47,0,2,0,0.0,0,2,43.0,74
jdereg/java-util,213,2,91,6,2,0,0.0,0,2,42.5,73
jdereg/java-util,215,2,112,0,1,0,0.0,0,1,63.0,63
jdereg/java-util,246,1,64,0,2,0,0.0,0,2,37.0,62
jdereg/java-util,247,2,45,1,2,0,0.0,0,2,38.0,64
jdereg/java-util,248,1,55,0,2,0,0.0,0,2,37.0,62
jdereg/java-util,249,2,134,2,2,0,0.0,0,2,39.0,66
jdereg/java-util,254,1,55,0,2,0,0.0,0,2,47.5,83
OpenHFT/Chronicle-Values,159,2,1,0,1,0,0.0,0,1,70.0,70
Camelcade/Perl5-IDEA,3002,1,6,5,5,4,0.0,0,5,96.0,103
jdereg/java-util,348,1,101,20,3,0,0.0,0,3,45.0,70
jdereg/java-util,349,1,105,0,4,0,0.0,0,4,37.25,72
jdereg/java-util,350,1,85,0,4,0,0.0,0,4,36.25,68
jdereg/java-util,351,1,250,2,7,0,0.0,0,7,42.285714285714285,73
jdereg/java-util,152,1,1,5,1,0,0.0,0,1,66.0,66
OpenHFT/Chronicle-Threads,275,1,99,74,1,0,0.0,0,1,55.0,55
OpenHFT/Chronicle-Threads,282,1,42,12,1,0,0.0,0,1,75.0,75
jdereg/java-util,360,1,33,14,2,0,0.0,0,2,32.5,53
jdereg/java-util,270,1,33,0,2,0,0.0,0,2,45.5,79
OpenHFT/Java-Thread-Affinity,139,1,19,0,1,0,0.0,0,1,11.0,11
OpenHFT/Java-Thread-Affinity,141,1,15,1,1,0,0.0,0,1,11.0,11
OpenHFT/Java-Thread-Affinity,150,1,21,0,1,0,0.0,0,1,65.0,65
jdereg/json-io,418,1,13,6,2,0,0.0,0,2,38.0,64
OpenHFT/Chronicle-Threads,277,1,56,4,1,0,0.0,0,1,59.0,59
OpenHFT/Chronicle-Threads,280,1,27,18,1,0,0.0,0,1,59.0,59
