full_name,number
OpenHFT/Chronicle-Logger,170
OpenHFT/Chronicle-Logger,171
OpenHFT/Chronicle-Logger,172
OpenHFT/Chronicle-Logger,173
OpenHFT/Chronicle-Logger,174
OpenHFT/Chronicle-Logger,175
OpenHFT/Chronicle-Logger,177
OpenHFT/Chronicle-Logger,178
OpenHFT/Chronicle-Logger,181
OpenHFT/Chronicle-Logger,185
OpenHFT/Chronicle-Logger,189
OpenHFT/Chronicle-Wire,1122
OpenHFT/Chronicle-Wire,1123
OpenHFT/Chronicle-Wire,1124
OpenHFT/Chronicle-Wire,1125
OpenHFT/Chronicle-Wire,1126
OpenHFT/Chronicle-Wire,1127
OpenHFT/Chronicle-Wire,1128
OpenHFT/Chronicle-Wire,1129
OpenHFT/Chronicle-Wire,1130
OpenHFT/Chronicle-Wire,1132
OpenHFT/Chronicle-Wire,1133
OpenHFT/Chronicle-Wire,1134
OpenHFT/Chronicle-Wire,1135
jdereg/json-io,318
jdereg/json-io,317
JetBrains/psiviewer,106
jdereg/java-util,292
jdereg/java-util,299
jdereg/java-util,300
jdereg/java-util,302
jdereg/java-util,303
OpenHFT/Chronicle-Logger,142
OpenHFT/Chronicle-Threads,312
OpenHFT/Chronicle-Threads,313
OpenHFT/Chronicle-Threads,314
OpenHFT/Chronicle-Threads,315
OpenHFT/Chronicle-Threads,316
OpenHFT/Chronicle-Threads,317
OpenHFT/Chronicle-Threads,318
OpenHFT/Chronicle-Threads,319
OpenHFT/Chronicle-Threads,320
OpenHFT/Chronicle-Threads,321
OpenHFT/Chronicle-Threads,322
OpenHFT/Chronicle-Threads,323
OpenHFT/Chronicle-Threads,324
OpenHFT/Chronicle-Threads,325
plantuml/plantuml,2210
jdereg/json-io,414
jdereg/json-io,416
jdereg/java-util,153
apache/pinot,16030
jdereg/java-util,335
jdereg/java-util,336
jdereg/java-util,120
jdereg/java-util,123
jdereg/java-util,126
jdereg/java-util,129
DataDog/dd-trace-java,8984
jdereg/java-util,159
jdereg/java-util,161
jdereg/java-util,165
jdereg/java-util,170
jdereg/java-util,171
jdereg/java-util,172
jdereg/java-util,173
jdereg/java-util,134
jdereg/json-io,316
jdereg/java-util,174
jdereg/json-io,402
jdereg/json-io,403
jdereg/java-util,343
jdereg/java-util,163
halilozel1903/AndroidTVMovieParadise,18
halilozel1903/AndroidTVMovieParadise,25
jdereg/java-util,167
jdereg/java-util,345
jdereg/json-io,334
jdereg/json-io,335
jdereg/json-io,337
jdereg/json-io,338
jdereg/json-io,341
jdereg/json-io,342
jdereg/json-io,343
jdereg/json-io,344
jdereg/json-io,345
jdereg/json-io,346
jdereg/json-io,359
jdereg/json-io,360
jdereg/java-util,224
jdereg/java-util,222
jdereg/java-util,223
jdereg/java-util,226
jdereg/java-util,227
jdereg/java-util,228
jdereg/java-util,229
jdereg/java-util,231
jdereg/java-util,232
jdereg/java-util,233
jdereg/java-util,234
jdereg/java-util,235
jdereg/java-util,236
jdereg/java-util,239
jdereg/java-util,240
jdereg/java-util,241
jdereg/java-util,242
jdereg/java-util,243
jdereg/json-io,313
Camelcade/Perl5-IDEA,3003
jdereg/java-util,337
OpenHFT/Chronicle-Wire,1097
OpenHFT/Chronicle-Wire,1098
OpenHFT/Chronicle-Wire,1099
jdereg/json-io,339
jdereg/json-io,340
jdereg/json-io,348
jdereg/json-io,349
jdereg/json-io,350
jdereg/json-io,351
jdereg/json-io,352
OpenHFT/Java-Thread-Affinity,138
OpenHFT/Java-Thread-Affinity,142
OpenHFT/Chronicle-Bytes,682
OpenHFT/Chronicle-Bytes,683
OpenHFT/Chronicle-Bytes,684
OpenHFT/Chronicle-Bytes,685
OpenHFT/Chronicle-Bytes,687
SimonHalvdansson/Harmonic-HN,216
operaton/operaton,911
jdereg/java-util,252
jdereg/java-util,253
jdereg/java-util,255
jdereg/java-util,256
jdereg/java-util,258
halilozel1903/AndroidTVMovieParadise,23
halilozel1903/AndroidTVMovieParadise,24
OpenHFT/Chronicle-Threads,279
OpenHFT/Chronicle-Threads,281
OpenHFT/Chronicle-Threads,283
OpenHFT/Chronicle-Threads,287
OpenHFT/Chronicle-Threads,295
OpenHFT/Chronicle-Threads,298
OpenHFT/Chronicle-Threads,299
OpenHFT/Chronicle-Threads,300
OpenHFT/Chronicle-Threads,301
OpenHFT/Chronicle-Threads,302
OpenHFT/Chronicle-Threads,303
OpenHFT/Chronicle-Threads,304
OpenHFT/Chronicle-Threads,305
OpenHFT/Chronicle-Threads,306
OpenHFT/Chronicle-Threads,307
OpenHFT/Chronicle-Threads,308
OpenHFT/Chronicle-Threads,309
OpenHFT/Chronicle-Threads,310
OpenHFT/Chronicle-Threads,311
OpenHFT/Java-Thread-Affinity,149
VerisimilitudeX/DNAnalyzer,535
jdereg/java-util,304
jdereg/java-util,306
jdereg/java-util,310
jdereg/java-util,311
jdereg/java-util,312
jdereg/java-util,313
jdereg/java-util,314
jdereg/java-util,316
SimonHalvdansson/Harmonic-HN,220
OpenHFT/Java-Thread-Affinity,151
jdereg/json-io,311
OpenHFT/Java-Thread-Affinity,143
OpenHFT/Java-Thread-Affinity,156
OpenHFT/Java-Thread-Affinity,161
jdereg/json-io,394
jdereg/json-io,398
OpenHFT/Chronicle-Values,125
OpenHFT/Chronicle-Values,130
OpenHFT/Chronicle-Values,133
OpenHFT/Chronicle-Values,140
OpenHFT/Chronicle-Values,146
OpenHFT/Chronicle-Values,149
OpenHFT/Chronicle-Values,154
OpenHFT/Java-Runtime-Compiler,149
OpenHFT/Java-Runtime-Compiler,153
OpenHFT/Java-Runtime-Compiler,158
jdereg/java-util,260
xpinjection/test-driven-spring-boot,11
OpenHFT/Chronicle-Values,139
jdereg/json-io,411
jdereg/java-util,329
jdereg/java-util,333
OpenHFT/Chronicle-Values,62
OpenHFT/Chronicle-Values,72
OpenHFT/Chronicle-Values,76
OpenHFT/Chronicle-Values,78
jdereg/java-util,175
jdereg/java-util,176
jdereg/java-util,179
jdereg/java-util,181
jdereg/java-util,182
jdereg/java-util,183
jdereg/java-util,184
jdereg/java-util,185
freeplane/freeplane,2537
jdereg/java-util,326
jdereg/json-io,314
jdereg/java-util,127
OpenHFT/Java-Runtime-Compiler,160
OpenHFT/Chronicle-Values,156
OpenHFT/Chronicle-Values,157
OpenHFT/Chronicle-Core,768
OpenHFT/Chronicle-Core,774
OpenHFT/Chronicle-Core,799
jdereg/java-util,133
jdereg/java-util,195
jdereg/java-util,196
jdereg/java-util,197
OpenHFT/Chronicle-Bytes,678
OpenHFT/Chronicle-Bytes,680
OpenHFT/Chronicle-Wire,1101
OpenHFT/Chronicle-Wire,1102
OpenHFT/Chronicle-Wire,1103
OpenHFT/Chronicle-Wire,1104
OpenHFT/Chronicle-Wire,1105
OpenHFT/Chronicle-Wire,1106
OpenHFT/Chronicle-Wire,1107
OpenHFT/Chronicle-Wire,1108
OpenHFT/Chronicle-Wire,1110
OpenHFT/Chronicle-Wire,1111
OpenHFT/Chronicle-Wire,1112
OpenHFT/Chronicle-Wire,1113
OpenHFT/Chronicle-Wire,1114
OpenHFT/Chronicle-Wire,1115
OpenHFT/Chronicle-Wire,1116
OpenHFT/Chronicle-Wire,1117
OpenHFT/Chronicle-Wire,1118
OpenHFT/Chronicle-Wire,1119
OpenHFT/Chronicle-Wire,1120
OpenHFT/Chronicle-Bytes,663
OpenHFT/Chronicle-Bytes,664
OpenHFT/Chronicle-Bytes,666
OpenHFT/Chronicle-Bytes,667
OpenHFT/Chronicle-Bytes,668
OpenHFT/Chronicle-Bytes,670
OpenHFT/Chronicle-Bytes,671
OpenHFT/Chronicle-Bytes,672
OpenHFT/Chronicle-Bytes,673
OpenHFT/Chronicle-Bytes,675
DataDog/dd-trace-java,8985
Camelcade/Perl5-IDEA,3005
VerisimilitudeX/DNAnalyzer,529
jdereg/java-util,269
Stirling-Tools/Stirling-PDF,3989
OpenHFT/Chronicle-Wire,1185
OpenHFT/Chronicle-Wire,1186
OpenHFT/Chronicle-Wire,1187
OpenHFT/Chronicle-Wire,1188
OpenHFT/Chronicle-Wire,1189
OpenHFT/Chronicle-Wire,1190
OpenHFT/Chronicle-Wire,1191
OpenHFT/Chronicle-Wire,1192
OpenHFT/Chronicle-Wire,1193
OpenHFT/Chronicle-Wire,1194
OpenHFT/Chronicle-Threads,276
OpenHFT/Chronicle-Threads,278
OpenHFT/Chronicle-Threads,284
OpenHFT/Chronicle-Threads,285
OpenHFT/Chronicle-Threads,286
OpenHFT/Chronicle-Threads,289
OpenHFT/Chronicle-Threads,290
OpenHFT/Chronicle-Threads,293
OpenHFT/Chronicle-Threads,294
OpenHFT/Chronicle-Threads,296
OpenHFT/Chronicle-Threads,297
jdereg/java-util,289
halilozel1903/AndroidTVMovieParadise,20
jdereg/java-util,200
OpenHFT/Chronicle-Values,141
OpenHFT/Chronicle-Values,147
JetBrains/psiviewer,104
jdereg/java-util,342
OpenHFT/Java-Thread-Affinity,147
VerisimilitudeX/DNAnalyzer,534
VerisimilitudeX/DNAnalyzer,539
jdereg/json-io,326
SimonHalvdansson/Harmonic-HN,217
operaton/operaton,891
jdereg/java-util,279
jdereg/java-util,284
VerisimilitudeX/DNAnalyzer,530
jdereg/java-util,275
OpenHFT/Chronicle-Core,791
jdereg/java-util,285
jdereg/java-util,287
xpinjection/test-driven-spring-boot,13
jdereg/java-util,355
VerisimilitudeX/DNAnalyzer,500
cwuom/ono,3
jdereg/java-util,268
jdereg/java-util,267
OpenHFT/Chronicle-Core,790
jdereg/json-io,413
apache/pinot,16078
OpenHFT/Chronicle-Core,815
jdereg/json-io,309
SimonHalvdansson/Harmonic-HN,219
traccar/traccar,5557
halilozel1903/AndroidTVMovieParadise,9
halilozel1903/AndroidTVMovieParadise,11
halilozel1903/AndroidTVMovieParadise,12
halilozel1903/AndroidTVMovieParadise,15
halilozel1903/AndroidTVMovieParadise,16
jdereg/java-util,332
OpenHFT/Chronicle-Values,69
halilozel1903/AndroidTVMovieParadise,22
jdereg/java-util,121
jdereg/java-util,262
jdereg/java-util,264
jdereg/json-io,384
jdereg/json-io,385
jdereg/json-io,386
jdereg/json-io,387
jdereg/json-io,388
jdereg/json-io,389
OpenHFT/Java-Thread-Affinity,145
VerisimilitudeX/DNAnalyzer,509
VerisimilitudeX/DNAnalyzer,511
VerisimilitudeX/DNAnalyzer,513
jdereg/java-util,352
operaton/operaton,903
SimonHalvdansson/Harmonic-HN,218
jdereg/java-util,203
jdereg/java-util,205
xpinjection/test-driven-spring-boot,16
jdereg/java-util,331
OpenHFT/Chronicle-Core,740
OpenHFT/Chronicle-Core,745
VerisimilitudeX/DNAnalyzer,520
jdereg/java-util,131
jdereg/java-util,132
OpenHFT/Chronicle-Values,155
OpenHFT/Chronicle-Values,158
jdereg/java-util,344
JetBrains/psiviewer,105
OpenHFT/Chronicle-Wire,1136
OpenHFT/Chronicle-Wire,1137
OpenHFT/Chronicle-Wire,1142
OpenHFT/Chronicle-Wire,1144
OpenHFT/Chronicle-Wire,1145
OpenHFT/Chronicle-Wire,1146
OpenHFT/Chronicle-Wire,1147
OpenHFT/Chronicle-Wire,1148
OpenHFT/Chronicle-Wire,1149
OpenHFT/Chronicle-Wire,1150
OpenHFT/Chronicle-Wire,1151
OpenHFT/Chronicle-Wire,1152
OpenHFT/Chronicle-Wire,1153
OpenHFT/Chronicle-Wire,1154
OpenHFT/Chronicle-Wire,1155
OpenHFT/Chronicle-Wire,1156
OpenHFT/Chronicle-Wire,1157
OpenHFT/Chronicle-Wire,1158
OpenHFT/Chronicle-Wire,1159
OpenHFT/Chronicle-Wire,1160
OpenHFT/Chronicle-Wire,1161
OpenHFT/Chronicle-Wire,1162
OpenHFT/Chronicle-Wire,1163
OpenHFT/Chronicle-Wire,1164
OpenHFT/Chronicle-Wire,1165
OpenHFT/Chronicle-Wire,1166
OpenHFT/Chronicle-Wire,1167
OpenHFT/Chronicle-Wire,1168
OpenHFT/Chronicle-Wire,1169
OpenHFT/Chronicle-Wire,1177
OpenHFT/Chronicle-Wire,1178
OpenHFT/Chronicle-Wire,1179
OpenHFT/Chronicle-Wire,1180
OpenHFT/Chronicle-Wire,1181
OpenHFT/Chronicle-Wire,1182
OpenHFT/Chronicle-Logger,148
OpenHFT/Chronicle-Logger,151
OpenHFT/Chronicle-Logger,156
OpenHFT/Chronicle-Logger,183
jdereg/json-io,319
Photon-GitHub/AntiCheatAddition,687
Photon-GitHub/AntiCheatAddition,688
xpinjection/test-driven-spring-boot,12
jdereg/java-util,290
VerisimilitudeX/DNAnalyzer,544
halilozel1903/AndroidTVMovieParadise,14
OpenHFT/Chronicle-Threads,291
operaton/operaton,913
jdereg/java-util,353
jdereg/java-util,164
jdereg/java-util,166
jdereg/java-util,169
xpinjection/test-driven-spring-boot,15
jdereg/java-util,334
VerisimilitudeX/DNAnalyzer,528
jdereg/json-io,396
OpenHFT/Chronicle-Core,788
OpenHFT/Chronicle-Core,793
jdereg/java-util,307
jdereg/java-util,308
jdereg/java-util,309
jdereg/java-util,130
jdereg/java-util,154
jdereg/java-util,155
jdereg/java-util,158
OpenHFT/Java-Thread-Affinity,165
OpenHFT/Java-Thread-Affinity,170
OpenHFT/Java-Thread-Affinity,171
OpenHFT/Chronicle-Bytes,679
jdereg/java-util,138
jdereg/java-util,137
OpenHFT/Java-Thread-Affinity,144
jdereg/json-io,395
VerisimilitudeX/DNAnalyzer,501
VerisimilitudeX/DNAnalyzer,503
jdereg/java-util,214
jdereg/java-util,216
jdereg/java-util,218
VerisimilitudeX/DNAnalyzer,519
VerisimilitudeX/DNAnalyzer,521
halilozel1903/AndroidTVMovieParadise,10
jdereg/java-util,119
jdereg/java-util,330
OpenHFT/Chronicle-Core,739
OpenHFT/Chronicle-Core,742
OpenHFT/Chronicle-Core,743
OpenHFT/Chronicle-Core,746
OpenHFT/Chronicle-Core,752
OpenHFT/Chronicle-Core,756
OpenHFT/Chronicle-Core,758
OpenHFT/Chronicle-Core,759
jdereg/java-util,280
OpenHFT/Java-Thread-Affinity,174
OpenHFT/Java-Thread-Affinity,166
traccar/traccar,5568
OpenHFT/Chronicle-Wire,1195
OpenHFT/Chronicle-Wire,1196
OpenHFT/Chronicle-Wire,1198
OpenHFT/Chronicle-Wire,1199
jdereg/java-util,145
OpenHFT/Chronicle-Wire,1000
OpenHFT/Chronicle-Wire,1009
OpenHFT/Chronicle-Wire,1010
OpenHFT/Chronicle-Wire,1012
OpenHFT/Chronicle-Wire,1013
OpenHFT/Chronicle-Wire,1014
OpenHFT/Chronicle-Wire,1015
OpenHFT/Chronicle-Wire,1016
OpenHFT/Chronicle-Wire,1017
OpenHFT/Chronicle-Wire,1019
OpenHFT/Chronicle-Wire,1021
OpenHFT/Chronicle-Wire,1022
OpenHFT/Chronicle-Wire,1023
OpenHFT/Chronicle-Wire,1024
OpenHFT/Chronicle-Wire,1025
OpenHFT/Chronicle-Wire,1026
OpenHFT/Chronicle-Wire,1027
OpenHFT/Chronicle-Wire,1028
OpenHFT/Chronicle-Wire,1029
OpenHFT/Chronicle-Wire,1031
OpenHFT/Chronicle-Wire,1032
OpenHFT/Chronicle-Wire,1033
OpenHFT/Chronicle-Wire,1034
OpenHFT/Chronicle-Wire,1035
OpenHFT/Chronicle-Wire,1037
OpenHFT/Chronicle-Wire,1039
OpenHFT/Chronicle-Wire,1040
OpenHFT/Chronicle-Wire,1041
OpenHFT/Chronicle-Wire,1042
OpenHFT/Chronicle-Wire,1043
OpenHFT/Chronicle-Wire,1044
OpenHFT/Chronicle-Wire,1045
OpenHFT/Chronicle-Wire,1047
OpenHFT/Chronicle-Wire,1048
OpenHFT/Chronicle-Wire,1049
OpenHFT/Chronicle-Wire,1053
OpenHFT/Chronicle-Wire,1054
OpenHFT/Chronicle-Wire,1055
OpenHFT/Chronicle-Wire,1056
OpenHFT/Chronicle-Wire,1058
OpenHFT/Chronicle-Wire,1059
OpenHFT/Chronicle-Wire,1060
