PR_ID,Contributors,Stars,Forks,Watchers,Duration_Days,Commits,Open_Issues,Closed_Issues,Pull_Requests
18,1,179,67,190,2180,113,0,6,19
25,1,179,67,190,2180,113,0,6,19
167,22,428,110,429,4456,2342,2,23,333
345,22,428,110,429,4456,2342,2,23,333
334,46,337,114,341,4459,2447,2,131,293
335,46,337,114,341,4459,2447,2,131,293
337,46,337,114,341,4459,2447,2,131,293
338,46,337,114,341,4459,2447,2,131,293
341,46,337,114,341,4459,2447,2,131,293
342,46,337,114,341,4459,2447,2,131,293
343,46,337,114,341,4459,2447,2,131,293
344,46,337,114,341,4459,2447,2,131,293
345,46,337,114,341,4459,2447,2,131,293
346,46,337,114,341,4459,2447,2,131,293
359,46,337,114,341,4459,2447,2,131,293
360,46,337,114,341,4459,2447,2,131,293
224,22,428,110,429,4456,2342,2,23,333
222,22,428,110,429,4456,2342,2,23,333
223,22,428,110,429,4456,2342,2,23,333
226,22,428,110,429,4456,2342,2,23,333
227,22,428,110,429,4456,2342,2,23,333
228,22,428,110,429,4456,2342,2,23,333
229,22,428,110,429,4456,2342,2,23,333
231,22,428,110,429,4456,2342,2,23,333
232,22,428,110,429,4456,2342,2,23,333
233,22,428,110,429,4456,2342,2,23,333
234,22,428,110,429,4456,2342,2,23,333
235,22,428,110,429,4456,2342,2,23,333
236,22,428,110,429,4456,2342,2,23,333
239,22,428,110,429,4456,2342,2,23,333
240,22,428,110,429,4456,2342,2,23,333
241,22,428,110,429,4456,2342,2,23,333
242,22,428,110,429,4456,2342,2,23,333
243,22,428,110,429,4456,2342,2,23,333
313,46,337,114,341,4459,2447,2,131,293
3003,26,411,75,416,3874,8126,969,1739,370
337,22,428,110,429,4456,2342,2,23,333
1097,55,557,132,565,3961,5652,21,420,790
1098,55,557,132,565,3961,5652,21,420,790
1099,55,557,132,565,3961,5652,21,420,790
339,46,337,114,341,4459,2447,2,131,293
340,46,337,114,341,4459,2447,2,131,293
348,46,337,114,341,4459,2447,2,131,293
349,46,337,114,341,4459,2447,2,131,293
350,46,337,114,341,4459,2447,2,131,293
351,46,337,114,341,4459,2447,2,131,293
352,46,337,114,341,4459,2447,2,131,293
138,41,1854,372,1880,4443,682,7,68,116
142,41,1854,372,1880,4443,682,7,68,116
682,45,420,87,430,3921,3945,2,307,402
683,45,420,87,430,3921,3945,2,307,402
684,45,420,87,430,3921,3945,2,307,402
685,45,420,87,430,3921,3945,2,307,402
687,45,420,87,430,3921,3945,2,307,402
216,32,746,52,831,911,650,46,119,94
911,413,186,46,277,400,22143,49,392,1175
252,22,428,110,429,4456,2342,2,23,333
253,22,428,110,429,4456,2342,2,23,333
255,22,428,110,429,4456,2342,2,23,333
256,22,428,110,429,4456,2342,2,23,333
258,22,428,110,429,4456,2342,2,23,333
23,1,179,67,190,2180,113,0,6,19
24,1,179,67,190,2180,113,0,6,19
279,34,186,61,189,3921,1786,1,111,224
281,34,186,61,189,3921,1786,1,111,224
283,34,186,61,189,3921,1786,1,111,224
287,34,186,61,189,3921,1786,1,111,224
295,34,186,61,189,3921,1786,1,111,224
298,34,186,61,189,3921,1786,1,111,224
299,34,186,61,189,3921,1786,1,111,224
300,34,186,61,189,3921,1786,1,111,224
301,34,186,61,189,3921,1786,1,111,224
302,34,186,61,189,3921,1786,1,111,224
303,34,186,61,189,3921,1786,1,111,224
304,34,186,61,189,3921,1786,1,111,224
305,34,186,61,189,3921,1786,1,111,224
306,34,186,61,189,3921,1786,1,111,224
307,34,186,61,189,3921,1786,1,111,224
308,34,186,61,189,3921,1786,1,111,224
309,34,186,61,189,3921,1786,1,111,224
310,34,186,61,189,3921,1786,1,111,224
311,34,186,61,189,3921,1786,1,111,224
149,41,1854,372,1880,4443,682,7,68,116
535,54,155,67,165,1207,1690,0,208,315
304,22,428,110,429,4456,2342,2,23,333
306,22,428,110,429,4456,2342,2,23,333
310,22,428,110,429,4456,2342,2,23,333
311,22,428,110,429,4456,2342,2,23,333
312,22,428,110,429,4456,2342,2,23,333
313,22,428,110,429,4456,2342,2,23,333
314,22,428,110,429,4456,2342,2,23,333
316,22,428,110,429,4456,2342,2,23,333
220,32,746,52,831,911,650,46,119,94
151,41,1854,372,1880,4443,682,7,68,116
311,46,337,114,341,4459,2447,2,131,293
143,41,1854,372,1880,4443,682,7,68,116
156,41,1854,372,1880,4443,682,7,68,116
161,41,1854,372,1880,4443,682,7,68,116
394,46,337,114,341,4459,2447,2,131,293
398,46,337,114,341,4459,2447,2,131,293
125,29,107,38,111,3921,557,1,26,138
130,29,107,38,111,3921,557,1,26,138
133,29,107,38,111,3921,557,1,26,138
140,29,107,38,111,3921,557,1,26,138
146,29,107,38,111,3921,557,1,26,138
149,29,107,38,111,3921,557,1,26,138
154,29,107,38,111,3921,557,1,26,138
149,37,690,148,692,4440,347,5,52,106
153,37,690,148,692,4440,347,5,52,106
158,37,690,148,692,4440,347,5,52,106
260,22,428,110,429,4456,2342,2,23,333
11,4,106,85,111,3053,176,0,0,16
139,29,107,38,111,3921,557,1,26,138
411,46,337,114,341,4459,2447,2,131,293
329,22,428,110,429,4456,2342,2,23,333
333,22,428,110,429,4456,2342,2,23,333
62,29,107,38,111,3921,557,1,26,138
72,29,107,38,111,3921,557,1,26,138
76,29,107,38,111,3921,557,1,26,138
78,29,107,38,111,3921,557,1,26,138
175,22,428,110,429,4456,2342,2,23,333
176,22,428,110,429,4456,2342,2,23,333
179,22,428,110,429,4456,2342,2,23,333
181,22,428,110,429,4456,2342,2,23,333
182,22,428,110,429,4456,2342,2,23,333
183,22,428,110,429,4456,2342,2,23,333
184,22,428,110,429,4456,2342,2,23,333
185,22,428,110,429,4456,2342,2,23,333
2537,412,3306,417,3664,4815,18367,405,972,173
326,22,428,110,429,4456,2342,2,23,333
314,46,337,114,341,4459,2447,2,131,293
127,22,428,110,429,4456,2342,2,23,333
160,37,690,148,692,4440,347,5,52,106
156,29,107,38,111,3921,557,1,26,138
157,29,107,38,111,3921,557,1,26,138
768,60,609,134,619,3921,3993,7,319,508
774,60,609,134,619,3921,3993,7,319,508
799,60,609,134,619,3921,3993,7,319,508
133,22,428,110,429,4456,2342,2,23,0
195,22,428,110,429,4456,2342,2,23,0
196,22,428,110,429,4456,2342,2,23,0
197,22,428,110,429,4456,2342,2,23,333
678,45,420,87,430,3921,3945,2,307,402
680,45,420,87,430,3921,3945,2,307,402
1101,55,557,132,565,3961,5652,21,420,790
1102,55,557,132,565,3961,5652,21,420,790
1103,55,557,132,565,3961,5652,21,420,790
1104,55,557,132,565,3961,5652,21,420,790
1105,55,557,132,565,3961,5652,21,420,790
1106,55,557,132,565,3961,5652,21,420,790
1107,55,557,132,565,3961,5652,21,420,790
1108,55,557,132,565,3961,5652,21,420,790
1110,55,557,132,565,3961,5652,21,420,790
1111,55,557,132,565,3961,5652,21,420,790
1112,55,557,132,565,3961,5652,21,420,790
1113,55,557,132,565,3961,5652,21,420,790
1114,55,557,132,565,3961,5652,21,420,790
1115,55,557,132,565,3961,5652,21,420,790
1116,55,557,132,565,3961,5652,21,420,790
1117,55,557,132,565,3961,5652,21,420,790
1118,55,557,132,565,3961,5652,21,420,790
1119,55,557,132,565,3961,5652,21,420,790
1120,55,557,132,565,3961,5652,21,420,790
663,45,420,87,430,3921,3945,2,307,402
664,45,420,87,430,3921,3945,2,307,402
666,45,420,87,430,3921,3945,2,307,402
667,45,420,87,430,3921,3945,2,307,402
668,45,420,87,430,3921,3945,2,307,402
670,45,420,87,430,3921,3945,2,307,402
671,45,420,87,430,3921,3945,2,307,402
672,45,420,87,430,3921,3945,2,307,402
673,45,420,87,430,3921,3945,2,307,402
675,45,420,87,430,3921,3945,2,307,402
8985,247,654,311,675,3131,16136,236,576,9178
3005,26,411,75,416,3874,8127,969,1739,371
529,54,155,67,165,1207,1690,0,208,315
269,22,428,110,429,4456,2342,2,23,333
3989,275,63892,5443,70073,1027,4170,352,1116,3245
1185,55,557,132,565,3961,5652,21,420,790
1186,55,557,132,565,3961,5652,21,420,790
1187,55,557,132,565,3961,5652,21,420,790
1188,55,557,132,565,3961,5652,21,420,790
1189,55,557,132,565,3961,5652,21,420,790
1190,55,557,132,565,3961,5652,21,420,790
1191,55,557,132,565,3961,5652,21,420,790
1192,55,557,132,565,3961,5652,21,420,790
1193,55,557,132,565,3961,5652,21,420,790
1194,55,557,132,565,3961,5652,21,420,790
276,34,186,61,189,3921,1786,1,111,224
278,34,186,61,189,3921,1786,1,111,224
284,34,186,61,189,3921,1786,1,111,224
285,34,186,61,189,3921,1786,1,111,224
286,34,186,61,189,3921,1786,1,111,224
289,34,186,61,189,3921,1786,1,111,224
290,34,186,61,189,3921,1786,1,111,224
293,34,186,61,189,3921,1786,1,111,224
294,34,186,61,189,3921,1786,1,111,224
296,34,186,61,189,3921,1786,1,111,224
297,34,186,61,189,3921,1786,1,111,224
289,22,428,110,429,4456,2342,2,23,333
20,1,179,67,190,2180,113,0,6,19
200,22,428,110,429,4456,2342,2,23,333
141,29,107,38,111,3921,557,1,26,138
147,29,107,38,111,3921,557,1,26,138
104,11,199,42,202,5348,226,13,33,71
342,22,428,110,429,4456,2342,2,23,333
147,41,1854,372,1880,4443,682,7,68,116
534,54,155,67,165,1207,1690,0,208,315
539,54,155,67,165,1207,1690,0,208,315
326,46,337,114,341,4459,2447,2,131,293
217,32,746,52,831,911,650,46,119,94
891,413,186,46,277,400,22145,49,392,1176
279,22,428,110,429,4456,2342,2,23,333
284,22,428,110,429,4456,2342,2,23,333
530,54,155,67,165,1207,1690,0,208,315
275,22,428,110,429,4456,2342,2,23,333
791,60,609,134,619,3921,3993,7,319,508
285,22,428,110,429,4456,2342,2,23,333
287,22,428,110,429,4456,2342,2,23,333
13,4,106,85,111,3053,176,0,0,16
355,22,428,110,429,4456,2342,2,23,333
500,54,155,67,165,1207,1690,0,208,315
3,2,133,26,160,311,127,4,6,16
268,22,428,110,429,4456,2342,2,23,333
267,22,428,110,429,4456,2342,2,23,333
790,60,609,134,619,3921,3993,7,319,508
413,46,337,114,341,4459,2447,2,131,293
16078,448,5851,1401,5959,4202,14324,1483,1712,14002
815,60,609,134,619,3921,3993,7,319,508
309,46,337,114,341,4459,2447,2,131,293
219,32,746,52,831,911,650,46,119,94
5557,229,6182,2867,6662,4965,9401,395,4175,1114
9,1,179,67,190,2180,113,0,6,19
11,1,179,67,190,2180,113,0,6,19
12,1,179,67,190,2180,113,0,6,19
15,1,179,67,190,2180,113,0,6,19
16,1,179,67,190,2180,113,0,6,19
332,22,428,110,429,4456,2342,2,23,333
69,29,107,38,111,3921,557,1,26,138
22,1,179,67,190,2180,113,0,6,19
121,22,428,110,429,4456,2342,2,23,333
262,22,428,110,429,4456,2342,2,23,333
264,22,428,110,429,4456,2342,2,23,333
384,46,337,114,341,4459,2447,2,131,293
385,46,337,114,341,4459,2447,2,131,293
386,46,337,114,341,4459,2447,2,131,293
387,46,337,114,341,4459,2447,2,131,293
388,46,337,114,341,4459,2447,2,131,293
389,46,337,114,341,4459,2447,2,131,293
145,41,1854,372,1880,4443,682,7,68,116
509,54,155,67,165,1207,1690,0,208,315
511,54,155,67,165,1207,1690,0,208,315
513,54,155,67,165,1207,1690,0,208,315
352,22,428,110,429,4456,2342,2,23,333
903,413,186,46,277,400,22145,49,392,1176
218,32,746,52,831,911,650,46,119,94
203,22,428,110,429,4456,2342,2,23,333
205,22,428,110,429,4456,2342,2,23,333
16,4,106,85,111,3053,176,0,0,16
331,22,428,110,429,4456,2342,2,23,333
740,60,609,134,619,3921,3993,7,319,508
745,60,609,134,619,3921,3993,7,319,508
520,54,155,67,165,1207,1690,0,208,315
131,22,428,110,429,4456,2342,2,23,333
132,22,428,110,429,4456,2342,2,23,333
155,29,107,38,111,3921,557,1,26,138
158,29,107,38,111,3921,557,1,26,138
344,22,428,110,429,4456,2342,2,23,333
105,11,199,42,202,5349,226,13,33,71
1136,55,557,132,565,3961,5652,21,420,790
1137,55,557,132,565,3961,5652,21,420,790
1142,55,557,132,565,3961,5652,21,420,790
1144,55,557,132,565,3961,5652,21,420,790
1145,55,557,132,565,3961,5652,21,420,790
1146,55,557,132,565,3961,5652,21,420,790
1147,55,557,132,565,3961,5652,21,420,790
1148,55,557,132,565,3961,5652,21,420,790
1149,55,557,132,565,3961,5652,21,420,790
1150,55,557,132,565,3961,5652,21,420,790
1151,55,557,132,565,3961,5652,21,420,790
1152,55,557,132,565,3961,5652,21,420,790
1153,55,557,132,565,3961,5652,21,420,790
1154,55,557,132,565,3961,5652,21,420,790
1155,55,557,132,565,3961,5652,21,420,790
1156,55,557,132,565,3961,5652,21,420,790
1157,55,557,132,565,3961,5652,21,420,790
1158,55,557,132,565,3961,5652,21,420,790
1159,55,557,132,565,3961,5652,21,420,790
1160,55,557,132,565,3961,5652,21,420,790
1161,55,557,132,565,3961,5652,21,420,790
1162,55,557,132,565,3961,5652,21,420,790
1163,55,557,132,565,3961,5652,21,420,790
1164,55,557,132,565,3961,5652,21,420,790
1165,55,557,132,565,3961,5652,21,420,790
1166,55,557,132,565,3961,5652,21,420,790
1167,55,557,132,565,3961,5652,21,420,790
1168,55,557,132,565,3961,5652,21,420,790
1169,55,557,132,565,3961,5652,21,420,790
1177,55,557,132,565,3961,5652,21,420,790
1178,55,557,132,565,3961,5652,21,420,790
1179,55,557,132,565,3961,5652,21,420,790
1180,55,557,132,565,3961,5652,21,420,790
1181,55,557,132,565,3961,5652,21,420,790
1182,55,557,132,565,3961,5652,21,420,790
148,30,230,62,231,4135,826,1,32,167
151,30,230,62,231,4135,826,1,32,167
156,30,230,62,231,4135,826,1,32,167
183,30,230,62,231,4135,826,1,32,167
319,46,337,114,341,4459,2447,2,131,293
687,10,169,54,174,3254,1967,21,547,113
688,10,169,54,174,3254,1967,21,547,113
12,4,106,85,111,3053,176,0,0,16
290,22,428,110,429,4456,2342,2,23,333
544,54,155,67,165,1207,1690,0,208,315
14,1,179,67,190,2180,113,0,6,19
291,34,186,61,189,3921,1786,1,111,224
913,413,186,46,277,400,22146,49,392,1176
353,22,428,110,429,4456,2342,2,23,333
164,22,428,110,429,4456,2342,2,23,333
166,22,428,110,429,4456,2342,2,23,333
169,22,428,110,429,4456,2342,2,23,333
15,4,106,85,111,3053,176,0,0,16
334,22,428,110,429,4456,2342,2,23,333
